RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
31,Minnesota,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167900,171300,174e3,175600,177100,178200,179100,178500,178400,178400,179800,180800,181300,181500,183200,183400,183700,184600,187600,190700,193100,197100,201500,202700,201500,199e3,198500,198e3,197700,198900,199900,201100,201e3,203200,203400,204600,203800,204200,204400,205e3,206800,207200,206900,206200,203700,204400,204900,208600,209300,210600,210600,212200,213100,214200,214800,217800,220200,222700,223800,224600,224500,222800,221500,220800,223400,226600,229600,231100,232100,236e3,235500,235500,233200,
10,Colorado,22,205800,201200,199600,198500,201100,202700,202400,200200,195100,189700,183200,181400,180700,183e3,184200,188400,192800,199500,201100,202600,200100,202200,201900,203400,201700,200500,199e3,197900,201500,206e3,209700,209300,206300,205800,201400,199300,194800,193300,192200,192300,193800,195300,197900,197900,199e3,197200,198e3,195400,196900,199900,207700,213600,217800,220200,222100,225200,226e3,226500,225500,224700,224700,226600,229400,233200,235700,237200,238500,238500,237400,235600,235300,236500,238200,239200,240900,242900,245800,247700,249400,250700,254e3,255600,259200,260500,263600,264500,267700,268900,270600,271800,273900,276100,278400,280500,283900,286300,287600,286800,288900,293300,298800,301300,303400,305300,307800,309700,311700,314500,316200,318e3,318500,320800,321100,323600,325100,329300,332e3,336800,339200,343800,345600,349500,349800,350900,349800,351700,354e3,355600,355500,356100,360500,365600,366300,364600,364200,364100,366800
4,Alabama,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99600,98800,102400,105100,108500,107900,110600,111300,111300,111600,113700,113900,113300,110200,111200,112500,116100,117e3,117100,116300,115800,117200,117100,118200,115900,115500,115200,116100,117300,118800,119700,120600,122100,121400,120800,120100,122200,124e3,125900,125300,124500,121e3,121e3,120600,121900,123e3,124600,125400,126100,128300,131900,134100,134600,133100,132300,133200,134400,134500,134e3,133800,134300,134e3,134500,134e3,135100,135600,138200,139900,140800,142900,146e3,152800,155300,155600,151700,148e3,145100,142500,146200,147100,150200,149500,152400,154700,155400,156100,154300,152600,
51,South Carolina,24,139200,140400,139e3,138e3,137900,136600,135500,132700,130600,128500,126400,126900,128200,130100,129300,128700,129700,132200,132e3,131200,129800,131e3,131200,131100,131400,133300,133700,130800,127300,126e3,128e3,129500,131e3,129800,128200,127300,126800,126100,124900,124900,128300,129200,128600,125800,123500,123700,124600,124900,124500,123700,126500,128900,130800,130600,131700,129900,13e4,130200,132700,134300,133700,135e3,137500,138800,139400,139e3,139600,139300,138200,137200,135600,135700,135700,138800,142700,146500,147300,145400,144500,145700,146800,148700,145900,147400,149e3,152500,152500,152900,156100,157800,158500,158500,156200,157100,157300,159400,159200,158900,161100,162e3,162400,161700,161900,163300,163700,162900,163200,165200,166700,167600,167100,166900,166200,166600,168100,169300,171500,174100,176600,179800,181e3,182200,180500,18e4,178400,177600,179200,180200,179700,177600,176e3,178300,179600,182500,183500,184100,
25,Louisiana,25,138300,135500,137700,137500,140300,14e4,138500,137500,134500,133300,133900,139500,143100,142700,140700,141e3,143100,143e3,143600,143700,146400,144400,143900,141900,141800,140400,140500,141100,139100,136800,136e3,139500,142400,144e3,143300,140900,136700,133e3,132400,135500,136300,138e3,137200,137700,136400,133700,133500,132900,133600,135e3,137e3,139800,140300,141e3,143600,146200,147400,144100,144400,144800,148800,149100,149800,147300,147800,148e3,15e4,149800,149100,149400,147800,147900,149800,151200,151800,151500,152300,154e3,155e3,156e3,157100,157200,158300,161100,162100,164100,162500,163200,162500,161400,161900,162200,163100,164300,165900,168100,167600,167200,166300,166900,167300,167300,167900,168300,168800,167600,167900,167400,168300,167800,169300,169300,170300,170700,171100,171200,171500,173100,176200,177500,175900,173e3,170900,171900,171300,171300,171100,169400,171700,168900,171900,17e4,172700,171200,174100,176600,
24,Kentucky,26,115400,114700,114e3,113e3,111800,112200,110300,109700,104100,102900,100900,103400,102800,105500,106300,108800,109600,111800,111900,113600,114900,115700,114e3,110900,112e3,113900,116300,115400,112300,110700,11e4,109e3,111400,115e3,117500,116700,113100,113e3,111500,112e3,112400,113e3,111800,111200,111200,111700,112200,111100,112800,114300,116900,116900,117100,116600,117800,119e3,119700,118500,116800,116200,116600,116900,117500,117700,118500,119300,119800,120400,120200,119300,116500,115200,114500,117700,120300,123500,125e3,125500,124900,124700,125700,127800,128800,131200,132800,134700,134700,136e3,134800,134800,134300,136800,136900,14e4,141100,141600,139100,138e3,139e3,139600,140500,141400,142200,141900,142200,142400,142900,143100,142700,144100,144100,145400,145800,146100,146900,147600,149200,150600,151400,153900,152900,152700,149900,149700,148700,148800,150100,151300,153400,156800,157800,158700,157100,157500,157200,157e3,158e3
46,Oregon,27,253900,248200,243300,242200,241900,240400,234800,234100,230600,229500,229e3,232e3,229800,223700,214900,213e3,211800,213e3,211100,211200,210800,211800,211400,210700,211400,209900,207400,203800,203800,204200,204e3,202500,201500,199700,195700,190300,185900,182300,180400,181e3,183700,187700,189200,190400,192700,190800,189e3,185100,184900,185e3,186600,193100,198e3,201700,203900,206600,21e4,209300,210100,208200,212100,216300,224e3,227600,231100,231300,233800,234200,235900,234800,233400,233600,234200,235800,236100,237200,238400,240300,241100,242500,241400,241600,242e3,243600,246400,249300,252200,254e3,253600,253400,252700,254400,255500,258800,260800,263100,265100,268e3,271e3,272800,271600,274700,277700,282400,284200,286200,289900,292200,293e3,292700,293700,295900,298500,300200,301800,303500,307600,311100,317300,321300,323300,323200,321400,323900,323700,325500,324100,325700,326700,328700,331400,335600,338800,337700,337200,338500,340600
45,Oklahoma,28,97900,99700,99300,102600,103e3,104400,101800,102100,99100,96600,93200,95800,101100,104200,104600,105300,106900,106500,105200,104900,106100,104400,102e3,100300,102600,107800,109e3,108800,103900,100800,1e5,100500,103e3,102700,104e3,105200,103600,102300,101800,102800,106e3,107300,108100,108200,107e3,109200,106400,107100,107e3,110900,112700,112700,112500,113400,115600,117400,118300,118200,118700,118600,119200,119800,120300,120600,120800,121600,122400,122600,122800,123600,121200,119800,119700,122500,124600,125300,126700,127e3,127200,127300,127700,127800,125800,126200,127400,129500,129e3,128900,129200,130400,130600,130700,130500,129800,131100,130900,131100,129700,129800,13e4,130200,129200,129900,130800,132600,132600,132700,133100,133400,134100,134600,135300,134800,134200,133100,132400,132700,134300,134700,135900,135900,135300,135400,135200,135200,134700,134700,138e3,139700,141100,141800,144700,147900,149200,148100,148100,148400
11,Connecticut,29,265e3,263900,253400,241400,234800,236400,237e3,237200,234800,233100,230900,228700,229e3,225600,220900,216300,214500,216e3,216700,22e4,225400,231e3,236900,240800,245500,243300,234300,225800,222500,231e3,232600,238900,240800,247700,249500,246e3,241200,239300,235500,235100,226900,228200,228100,227100,224300,219200,223200,222300,226e3,228500,227700,226700,222800,222600,220100,220800,223400,226100,223200,218600,217600,222800,228200,230800,230100,235500,233700,233200,228500,229100,229700,227400,222500,219600,220600,224200,226e3,225100,223500,222400,225200,224600,222700,218200,219400,221300,221300,221100,220800,221200,221100,219800,218e3,218400,219600,224400,223900,224700,221300,222700,219100,220500,221200,225300,225700,226300,227400,229100,229400,229400,225900,225900,223400,227900,226100,231600,234100,238200,239800,241900,246500,247100,241300,237300,233400,237800,236900,237600,236900,238100,238600,236200,239200,241900,245600,242100,
19,Iowa,30,119100,120800,118300,116e3,115600,114900,114200,113800,113100,116100,115700,116500,114e3,114100,114700,115700,116200,115500,113200,112800,113600,115400,116e3,114400,115300,116800,118900,117800,115300,115500,117500,119600,120500,120200,119600,117600,115600,115300,114600,116200,117200,119900,119400,120800,118700,119400,117100,116700,117300,118400,120800,120900,122e3,122600,121700,121200,122100,125900,126300,126600,125400,127300,126800,128600,128600,128900,126300,126e3,126200,125700,124100,122400,122900,123400,125100,125700,127e3,128200,129500,129400,129900,129800,131300,130700,132600,133500,135100,134200,134200,134e3,133900,132200,131900,133400,137700,140400,139500,137700,135400,136500,136300,136500,136500,136800,138e3,138900,139700,14e4,14e4,139900,140100,139300,139100,139400,141e3,143500,143300,140900,140600,143800,146500,145100,143800,145100,146400,147e3,147200,148100,148300,149400,151600,153100,153900,154700,155e3,157100,
